species,climate,plot_id,treatment,individual,individual_id,season,status,Seeds_capsule
Dia_car,ambient,1_1,control,C1,1_1_C1,fall,ripe_capsule,15.0
Dia_car,ambient,10_2,control,C1,10_2_C1,fall,ripe_capsule,22.0
Dia_car,ambient,3_4,control,C1,3_4_C1,fall,ripe_capsule,33.0
Dia_car,ambient,5_5,control,C1,5_5_C1,fall,ripe_capsule,36.6
Dia_car,ambient,8_3,control,C1,8_3_C1,fall,ripe_capsule,49.8
Dia_car,future,2_5,control,C1,2_5_C1,fall,ripe_capsule,40.5
Dia_car,future,4_4,control,C1,4_4_C1,fall,ripe_capsule,11.8
Dia_car,future,6_3,control,C1,6_3_C1,fall,ripe_capsule,21.2
Dia_car,future,7_2,control,C1,7_2_C1,fall,ripe_capsule,0.7
Dia_car,future,9_1,control,C1,9_1_C1,fall,ripe_capsule,21.0
Dia_car,ambient,1_1,control,C2,1_1_C2,fall,ripe_capsule,20.1
Dia_car,ambient,10_2,control,C2,10_2_C2,fall,ripe_capsule,41.7
Dia_car,ambient,3_4,control,C2,3_4_C2,fall,ripe_capsule,17.3
Dia_car,ambient,5_5,control,C2,5_5_C2,fall,ripe_capsule,18.2
Dia_car,ambient,8_3,control,C2,8_3_C2,fall,ripe_capsule,12.2
Dia_car,future,2_5,control,C2,2_5_C2,fall,ripe_capsule,35.6
Dia_car,future,4_4,control,C2,4_4_C2,fall,ripe_capsule,12.3
Dia_car,future,6_3,control,C2,6_3_C2,fall,ripe_capsule,17.8
Dia_car,future,7_2,control,C2,7_2_C2,fall,ripe_capsule,33.9
Dia_car,future,9_1,control,C2,9_1_C2,fall,ripe_capsule,22.2
Dia_car,ambient,1_1,control,C3,1_1_C3,fall,ripe_capsule,23.7
Dia_car,ambient,10_2,control,C3,10_2_C3,fall,ripe_capsule,4.0
Dia_car,ambient,3_4,control,C3,3_4_C3,fall,ripe_capsule,27.0
Dia_car,ambient,5_5,control,C3,5_5_C3,fall,ripe_capsule,26.0
Dia_car,ambient,8_3,control,C3,8_3_C3,fall,ripe_capsule,45.0
Dia_car,future,2_5,control,C3,2_5_C3,fall,ripe_capsule,25.8
Dia_car,future,4_4,control,C3,4_4_C3,fall,ripe_capsule,24.0
Dia_car,future,6_3,control,C3,6_3_C3,fall,ripe_capsule,42.0
Dia_car,future,7_2,control,C3,7_2_C3,fall,ripe_capsule,27.0
Dia_car,future,9_1,control,C3,9_1_C3,fall,ripe_capsule,33.1
Dia_car,ambient,1_1,control,C4,1_1_C4,fall,ripe_capsule,40.1
Dia_car,ambient,10_2,control,C4,10_2_C4,fall,ripe_capsule,19.9
Dia_car,ambient,3_4,control,C4,3_4_C4,fall,ripe_capsule,36.2
Dia_car,ambient,5_5,control,C4,5_5_C4,fall,ripe_capsule,29.3
Dia_car,ambient,8_3,control,C4,8_3_C4,fall,ripe_capsule,18.0
Dia_car,future,2_5,control,C4,2_5_C4,fall,ripe_capsule,11.0
Dia_car,future,4_4,control,C4,4_4_C4,fall,ripe_capsule,33.2
Dia_car,future,6_3,control,C4,6_3_C4,fall,ripe_capsule,22.8
Dia_car,future,7_2,control,C4,7_2_C4,fall,ripe_capsule,19.7
Dia_car,ambient,1_1,supplement,S1,1_1_S1,fall,ripe_capsule,44.0
Dia_car,ambient,10_2,supplement,S1,10_2_S1,fall,ripe_capsule,15.2
Dia_car,ambient,3_4,supplement,S1,3_4_S1,fall,ripe_capsule,19.7
Dia_car,ambient,5_5,supplement,S1,5_5_S1,fall,ripe_capsule,23.7
Dia_car,ambient,8_3,supplement,S1,8_3_S1,fall,ripe_capsule,21.3
Dia_car,future,2_5,supplement,S1,2_5_S1,fall,ripe_capsule,38.4
Dia_car,future,4_4,supplement,S1,4_4_S1,fall,ripe_capsule,61.0
Dia_car,future,6_3,supplement,S1,6_3_S1,fall,ripe_capsule,24.7
Dia_car,future,7_2,supplement,S1,7_2_S1,fall,ripe_capsule,5.5
Dia_car,future,9_1,supplement,S1,9_1_S1,fall,ripe_capsule,25.0
Dia_car,ambient,1_1,supplement,S2,1_1_S2,fall,ripe_capsule,14.6
Dia_car,ambient,10_2,supplement,S2,10_2_S2,fall,ripe_capsule,24.7
Dia_car,ambient,3_4,supplement,S2,3_4_S2,fall,ripe_capsule,36.7
Dia_car,ambient,5_5,supplement,S2,5_5_S2,fall,ripe_capsule,50.0
Dia_car,ambient,8_3,supplement,S2,8_3_S2,fall,ripe_capsule,9.5
Dia_car,future,6_3,supplement,S2,6_3_S2,fall,ripe_capsule,28.8
