species,climate,plot_id,treatment,individual,individual_id,season,seeds_flowerhead,
Sca_och,ambient,1_1,control,C1,1_1_C1,fall,18.0,
Sca_och,ambient,1_1,control,C2,1_1_C2,fall,26.2,
Sca_och,ambient,1_1,control,C3,1_1_C3,fall,20.0,
Sca_och,ambient,1_1,control,C4,1_1_C4,fall,27.0,
Sca_och,ambient,1_1,supplement,S1,1_1_S1,fall,41.5,
Sca_och,ambient,1_1,supplement,S2,1_1_S2,fall,36.5,
Sca_och,ambient,1_1,supplement,S3,1_1_S3,fall,31.0,
Sca_och,ambient,1_1,supplement,S4,1_1_S4,fall,20.5,
Sca_och,ambient,10_2,control,C1,10_2_C1,fall,30.0,
Sca_och,ambient,10_2,control,C2,10_2_C2,fall,7.5,
Sca_och,ambient,10_2,control,C3,10_2_C3,fall,14.8,
Sca_och,ambient,10_2,supplement,S2,10_2_S2,fall,20.5,
Sca_och,ambient,10_2,supplement,S3,10_2_S3,fall,2.5,
Sca_och,ambient,10_2,supplement,S4,10_2_S4,fall,26.3,
Sca_och,ambient,3_4,control,C1,3_4_C1,fall,43.5,
Sca_och,ambient,3_4,control,C2,3_4_C2,fall,28.2,
Sca_och,ambient,3_4,control,C3,3_4_C3,fall,46.3,
Sca_och,ambient,3_4,control,C4,3_4_C4,fall,0.0,
Sca_och,ambient,3_4,supplement,S1,3_4_S1,fall,17.0,
Sca_och,ambient,3_4,supplement,S2,3_4_S2,fall,28.8,
Sca_och,ambient,3_4,supplement,S3,3_4_S3,fall,28.1,
Sca_och,ambient,3_4,supplement,S4,3_4_S4,fall,36.3,
Sca_och,ambient,5_5,control,C1,5_5_C1,fall,38.6,
Sca_och,ambient,5_5,control,C2,5_5_C2,fall,41.8,
Sca_och,ambient,5_5,control,C3,5_5_C3,fall,29.0,
Sca_och,ambient,5_5,supplement,S1,5_5_S1,fall,27.1,
Sca_och,ambient,5_5,supplement,S2,5_5_S2,fall,32.7,
Sca_och,ambient,5_5,supplement,S3,5_5_S3,fall,27.3,
Sca_och,ambient,5_5,supplement,S4,5_5_S4,fall,42.2,
Sca_och,ambient,8_3,control,C3,8_3_C3,fall,17.3,
Sca_och,ambient,8_3,control,C4,8_3_C4,fall,5.0,
Sca_och,ambient,8_3,supplement,S2,8_3_S2,fall,0.7,
Sca_och,ambient,8_3,supplement,S3,8_3_S3,fall,23.8,
Sca_och,ambient,8_3,supplement,S4,8_3_S4,fall,14.3,
Sca_och,future,2_5,control,C1,2_5_C1,fall,38.6,
Sca_och,future,2_5,control,C2,2_5_C2,fall,35.6,
Sca_och,future,2_5,control,C4,2_5_C4,fall,40.5,
Sca_och,future,2_5,supplement,S1,2_5_S1,fall,34.3,
Sca_och,future,2_5,supplement,S2,2_5_S2,fall,27.2,
Sca_och,future,2_5,supplement,S3,2_5_S3,fall,14.8,
Sca_och,future,2_5,supplement,S4,2_5_S4,fall,40.0,
Sca_och,future,4_4,control,C1,4_4_C1,fall,41.5,
Sca_och,future,4_4,control,C2,4_4_C2,fall,29.1,
Sca_och,future,4_4,control,C4,4_4_C4,fall,30.3,
Sca_och,future,4_4,supplement,S1,4_4_S1,fall,48.7,
Sca_och,future,4_4,supplement,S2,4_4_S2,fall,22.3,
Sca_och,future,4_4,supplement,S4,4_4_S4,fall,30.0,
Sca_och,future,6_3,control,C1,6_3_C1,fall,38.4,
Sca_och,future,6_3,control,C2,6_3_C2,fall,40.0,
Sca_och,future,6_3,control,C4,6_3_C4,fall,38.1,
Sca_och,future,6_3,supplement,S1,6_3_S1,fall,28.4,
Sca_och,future,6_3,supplement,S2,6_3_S2,fall,26.6,
Sca_och,future,6_3,supplement,S3,6_3_S3,fall,28.7,
Sca_och,future,6_3,supplement,S4,6_3_S4,fall,40.8,
Sca_och,future,7_2,control,C1,7_2_C1,fall,46.5,
Sca_och,future,7_2,control,C2,7_2_C2,fall,34.1,
Sca_och,future,7_2,control,C3,7_2_C3,fall,34.8,
